id;nom;groupe;amendements_adoptes;amendements_signes;commission_interventions;commission_presences;hemicycle_interventions;hemicycle_interventions_courtes;propositions_ecrites;propositions_signees;questions_ecrites;questions_orales;rapports;semaines_presence;
298;Élie Aboud;UMP;0;0;5;7;0;0;0;3;0;0;0;2;
299;Bernard Brochand;UMP;0;7;0;1;0;0;0;0;4;0;0;1;
300;Pascal Deguilhem;SRC;0;0;1;3;1;1;0;0;4;1;0;2;
301;Marie-Jo Zimmermann;UMP;0;0;18;4;2;0;0;2;14;1;0;2;
302;Jean-Marie Binetruy;UMP;3;8;0;4;8;3;0;6;4;1;0;2;
303;Jean-Pierre Balligand;SRC;0;0;0;2;0;0;0;1;1;0;0;1;
305;Annick Le Loch;SRC;5;76;1;3;0;0;0;0;1;0;0;2;
306;Jean-Louis Bernard;UMP;0;0;0;3;0;0;0;1;0;0;0;2;
307;Laurent Fabius;SRC;0;0;0;1;0;0;0;1;1;0;0;1;
309;Philippe Martin;SRC;3;58;0;2;0;5;0;0;0;0;0;2;
310;Dominique Baert;SRC;0;0;1;2;0;0;0;1;1;0;0;2;
311;Francis Vercamer;NC;0;0;0;1;1;0;0;0;0;1;0;2;
315;Marc Francina;UMP;2;11;0;3;0;0;0;4;3;0;0;2;
316;François Loos;UMP;4;5;0;0;161;69;0;0;1;0;0;2;
317;Henriette Martinez;UMP;0;2;1;2;0;0;1;6;1;0;0;1;
318;Jean-Pierre Dupont;UMP;2;4;0;2;1;0;0;4;4;1;0;1;
319;Christian Jacob;UMP;0;0;53;4;0;1;0;0;0;0;0;3;
320;Philippe Boënnec;UMP;2;9;6;6;0;1;0;3;0;0;0;2;
321;Françoise de Panafieu;UMP;0;1;1;2;0;0;0;0;1;0;0;2;
322;Bernard Gérard;UMP;1;23;0;1;4;2;0;2;3;0;0;2;
324;Bernard Debré;UMP;0;0;15;5;0;0;0;1;3;0;0;2;
325;Alain Gest;UMP;0;0;0;2;0;2;0;2;0;0;0;1;
326;Patrick Braouezec;GDR;1;92;0;1;5;0;0;0;6;0;0;1;
327;Dominique Dord;UMP;7;41;3;6;0;0;0;12;3;0;0;2;
328;Alain Bocquet;GDR;1;92;0;2;1;18;0;0;4;0;0;1;
329;Jean-Claude Sandrier;GDR;1;92;0;1;0;0;0;0;0;0;0;1;
331;Jean-Christophe Lagarde;NC;0;1;263;17;0;0;0;3;7;0;0;3;
332;Robert Lecou;UMP;0;0;4;4;0;0;0;1;4;0;0;2;
333;William Dumas;SRC;3;53;0;2;20;31;0;0;8;0;0;3;
334;Patrick Bloche;SRC;0;0;9;4;1;3;0;0;0;0;0;2;
337;Laurent Cathala;SRC;0;0;0;1;0;0;0;0;2;0;0;1;
338;Christian Hutin;SRC;0;0;2;2;22;7;0;0;2;0;0;2;
339;Richard Mallié;UMP;1;1;0;1;1;2;2;4;2;0;0;2;
340;Jacques Valax;SRC;0;2;1;3;13;6;0;0;10;1;0;2;
341;Catherine Coutelle;SRC;3;60;4;2;0;0;0;1;1;0;0;1;
344;Michèle Delaunay;SRC;0;0;1;3;18;10;0;0;2;1;0;2;
345;Martine Carrillon-Couvreur;SRC;2;18;0;4;2;0;0;1;0;1;0;2;
346;Patrick Beaudouin;UMP;0;10;0;3;0;0;0;7;1;0;0;2;
347;Bernard Accoyer;UMP;0;0;0;0;46;141;0;0;0;0;0;2;
348;Jean Michel;SRC;0;0;1;2;0;0;0;0;4;0;0;1;
349;Yves Cochet;GDR;1;36;35;2;1;0;0;0;0;1;0;2;
350;Jacques Grosperrin;UMP;0;0;4;4;1;0;0;4;4;1;1;2;
351;Jérôme Cahuzac;SRC;0;0;26;4;2;1;0;1;3;1;0;2;
352;Jean-Pierre Marcon;UMP;0;9;14;3;11;6;0;4;2;0;0;2;
354;François Brottes;SRC;5;93;3;2;124;90;0;1;4;0;0;3;
355;Xavier Bertrand;UMP;0;0;0;1;0;0;0;1;8;0;0;1;
356;Alain Rousset;SRC;0;0;0;1;0;0;0;0;5;0;0;1;
357;François Pupponi;SRC;3;61;0;1;4;8;0;0;1;0;0;3;
358;Odile Saugues;SRC;0;0;0;1;4;0;0;0;1;0;0;1;
359;Michel Raison;UMP;1;1;0;1;3;1;0;2;11;0;0;2;
360;Roland Muzeau;GDR;1;112;8;2;67;100;0;0;0;1;0;2;
362;Paul Giacobbi;SRC;0;32;0;0;1;0;0;0;0;1;0;1;
363;Daniel Fidelin;UMP;0;4;5;3;0;0;0;2;1;0;0;2;
364;Jean Glavany;SRC;0;0;5;1;0;4;0;1;5;0;2;1;
365;David Habib;SRC;0;0;30;13;3;10;0;1;3;0;0;2;
366;Gilles Bourdouleix;UMP;0;1;0;1;0;0;0;0;2;0;0;1;
367;Philippe Vigier;NC;1;9;1;2;2;1;0;3;2;1;0;1;
368;Jean-Michel Ferrand;UMP;0;2;0;2;0;0;0;10;0;0;0;2;
370;Franck Gilard;UMP;0;1;1;2;0;30;0;2;0;0;0;3;
371;Max Roustan;UMP;1;64;3;1;10;11;0;2;1;0;0;1;
372;Marie-Line Reynaud;SRC;2;30;5;6;0;0;0;0;4;0;0;2;
374;Gérard Hamel;UMP;0;0;0;1;0;0;0;5;0;0;0;1;
375;Sébastien Huyghe;UMP;1;6;1;4;3;0;0;3;2;1;0;2;
376;Martine Martinel;SRC;0;2;2;3;2;0;0;1;7;0;0;2;
377;Colette Le Moal;NC;0;0;3;1;5;0;0;0;0;0;1;2;
378;Gérard Charasse;SRC;0;33;0;1;1;0;0;1;0;0;0;2;
379;Christian Kert;UMP;0;0;8;4;0;0;0;3;1;0;0;2;
380;Claude Gatignol;UMP;2;19;4;2;0;1;0;1;0;0;0;3;
381;Sophie Delong;UMP;0;1;1;4;0;0;0;2;0;0;0;2;
382;Dino Cinieri;UMP;0;0;2;2;2;1;0;4;2;1;0;2;
383;Frédérique Massat;SRC;5;82;1;2;4;2;0;0;4;0;0;1;
384;Michel Terrot;UMP;4;42;4;5;0;0;0;5;2;0;0;2;
385;Jean-René Marsac;SRC;3;56;0;1;2;0;0;0;6;0;0;2;
386;Jean-Claude Viollet;SRC;0;0;5;4;2;1;0;0;1;1;0;2;
388;Daniel Garrigue;NI;0;0;3;5;2;0;0;1;10;0;0;2;
389;Bernard Depierre;UMP;0;1;0;1;0;0;0;2;4;0;0;1;
390;Martine Lignières-Cassou;SRC;0;0;0;2;0;0;0;0;8;0;0;2;
391;Serge Janquin;SRC;0;0;1;1;0;0;0;0;0;0;0;1;
392;Marie-Hélène Amiable;GDR;1;92;2;1;0;0;0;0;3;0;0;1;
393;Sylvia Pinel;SRC;0;33;0;1;1;0;0;0;0;0;0;1;
395;Maxime Gremetz;NI;1;112;4;4;0;12;0;0;9;0;0;2;
397;Alain Moyne-Bressand;UMP;0;2;0;2;0;0;0;4;4;0;0;2;
398;Jean-Pierre Decool;UMP;9;63;0;1;0;0;1;15;4;0;0;1;
399;Philippe Plisson;SRC;3;58;7;5;0;0;0;0;5;0;0;2;
401;Marietta Karamanli;SRC;0;6;2;5;2;3;0;0;5;0;0;1;
